id,lat,lon,CH4
161,70.13320667,-143.6630883,3
162,70.13320667,-143.6630883,2.8
163,70.13319,-143.6630458,3
164,70.13319,-143.6630458,3.2
165,70.13319,-143.6630458,3.6
166,70.13319,-143.6630458,2.2
167,70.13317333,-143.6630033,1.2
168,70.13317333,-143.6630033,1
169,70.13317333,-143.6630033,1.2
170,70.13317333,-143.6630033,2.2
171,70.13317333,-143.6630033,2
172,70.13317333,-143.6630033,2.6
173,70.13317333,-143.6630033,2.8
174,70.13317333,-143.6630033,3.2
175,70.13317333,-143.6630033,2.6
176,70.13317333,-143.6630033,2.6
177,70.13317333,-143.6630033,2.8
178,70.13315833,-143.6629558,2.8
179,70.13315833,-143.6629558,2.4
180,70.13315833,-143.6629558,2.2
181,70.13315833,-143.6629558,1.8
182,70.13314333,-143.6629083,1.6
183,70.13314333,-143.6629083,1.6
184,70.13314333,-143.6629083,2.4
185,70.13314333,-143.6629083,2.2
186,70.13314333,-143.6629083,2
187,70.13314333,-143.6629083,1.2
188,70.13312833,-143.6628608,1.4
189,70.13312833,-143.6628608,1.2
190,70.13312833,-143.6628608,1.8
191,70.13312833,-143.6628608,2.4
192,70.13311333,-143.6628133,3.2
193,70.133095,-143.6627683,2.6
194,70.133095,-143.6627683,2.4
195,70.133095,-143.6627683,1.6
196,70.133095,-143.6627683,1.6
197,70.13307667,-143.6627233,2.2
198,70.13307667,-143.6627233,2.6
199,70.13307667,-143.6627233,2.6
200,70.13307667,-143.6627233,2
201,70.13307667,-143.6627233,1.6
202,70.13307667,-143.6627233,1.6
203,70.13306,-143.6626767,2
204,70.13306,-143.6626767,2.2
205,70.13306,-143.6626767,2
206,70.13306,-143.6626767,1.6
207,70.13304333,-143.66263,1.4
208,70.13304333,-143.66263,0.6
209,70.13304333,-143.66263,1
210,70.13304333,-143.66263,1.6
211,70.13304333,-143.66263,3
212,70.13304333,-143.66263,3
213,70.133025,-143.6625867,2
214,70.133025,-143.6625867,1.4
215,70.133025,-143.6625867,1.6
216,70.133025,-143.6625867,2.4
217,70.13300667,-143.6625433,2.4
218,70.13300667,-143.6625433,1.6
219,70.13300667,-143.6625433,1.6
220,70.13300667,-143.6625433,1.2
221,70.13300667,-143.6625433,1.8
222,70.13300667,-143.6625433,1.6
223,70.13298583,-143.6625017,2
224,70.13298583,-143.6625017,1.6
225,70.13298583,-143.6625017,1.4
226,70.13298583,-143.6625017,1
227,70.132965,-143.66246,1.2
228,70.132965,-143.66246,1.4
229,70.132965,-143.66246,1.8
230,70.132965,-143.66246,1.4
231,70.132965,-143.66246,1.4
232,70.132965,-143.66246,2.2
233,70.13294417,-143.6624308,3.8
234,70.13294417,-143.6624308,4.2
235,70.13294417,-143.6624308,3.4
236,70.13294417,-143.6624308,2.6
237,70.13292333,-143.6624017,1.8
238,70.13292333,-143.6624017,1.6
239,70.13292333,-143.6624017,1.2
240,70.13292333,-143.6624017,0.8
241,70.13292333,-143.6624017,0.6
242,70.13292333,-143.6624017,1
243,70.13290333,-143.6623692,1.8
244,70.13290333,-143.6623692,2
245,70.13290333,-143.6623692,1.8
246,70.13290333,-143.6623692,1.4
247,70.13288333,-143.6623367,2.2
248,70.13288333,-143.6623367,2.2
249,70.13288333,-143.6623367,2.6
250,70.13288333,-143.6623367,2
251,70.13288333,-143.6623367,2.4
