,lat,lon,CH4
121,70.13276833,-143.6620233,4.4
122,70.13276833,-143.6620233,4.2
123,70.13276833,-143.6620233,4.2
124,70.13276833,-143.6620233,4.2
125,70.13276833,-143.6620233,4.2
126,70.13276833,-143.6620233,4.2
127,70.13276833,-143.6620233,4.2
128,70.1329025,-143.6620258,3.6
129,70.1329775,-143.6620225,3.8
130,70.1329775,-143.6620225,4.2
131,70.1329775,-143.6620225,4.0
132,70.1329775,-143.6620225,4.0
133,70.1329775,-143.6620225,4.0
134,70.1329775,-143.6620225,4.0
135,70.13299833,-143.66201830000003,3.8
136,70.13299833,-143.66201830000003,3.8
137,70.13299833,-143.66201830000003,4.2
138,70.13299833,-143.66201830000003,4.2
139,70.13299833,-143.66201830000003,4.0
140,70.13299833,-143.66201830000003,4.2
141,70.13299833,-143.66201830000003,4.2
142,70.13299833,-143.66201830000003,3.8
143,70.13299833,-143.66201830000003,3.8
144,70.13323833,-143.6620033,3.6
145,70.13333167,-143.66201669999998,3.6
146,70.13333167,-143.66201669999998,3.8
147,70.13333167,-143.66201669999998,3.4
148,70.13337667,-143.6620275,3.8
149,70.13337667,-143.6620275,3.8
150,70.13337667,-143.6620275,3.8
151,70.13337667,-143.6620275,3.8
152,70.13339833,-143.6620383,4.2
153,70.13339833,-143.6620383,4.2
154,70.13339833,-143.6620383,4.0
155,70.13339833,-143.6620383,4.2
156,70.13339833,-143.6620383,4.2
157,70.13342,-143.6621375,3.4
158,70.13342333,-143.6621783,3.6
159,70.13342333,-143.6621783,3.4
160,70.13342667,-143.66226830000002,4.0
161,70.13342667,-143.66226830000002,4.0
162,70.13342667,-143.66226830000002,4.0
163,70.13342667,-143.66226830000002,4.0
164,70.13342667,-143.66226830000002,3.8
165,70.13342,-143.66229669999998,4.0
166,70.13342,-143.66229669999998,4.0
167,70.13342,-143.66229669999998,4.0
168,70.13342,-143.66229669999998,4.0
169,70.13342,-143.66229669999998,3.4
170,70.133365,-143.6623342,3.4
171,70.133365,-143.6623342,3.4
172,70.133365,-143.6623342,3.4
173,70.133365,-143.6623342,3.4
174,70.13292167,-143.662395,3.8
175,70.13274833,-143.66244,3.6
176,70.13253167,-143.662495,3.8
177,70.13253167,-143.662495,3.8
178,70.13253167,-143.662495,3.8
179,70.13253167,-143.662495,3.8
180,70.13271083,-143.6627983,3.4
181,70.13279667,-143.66278169999998,3.8
182,70.13279667,-143.66278169999998,3.8
183,70.13279667,-143.66278169999998,3.8
184,70.13279667,-143.66278169999998,3.8
185,70.13291167,-143.6627383,3.4
186,70.13291167,-143.6627383,3.6
187,70.13293667,-143.6627275,3.4
188,70.13293667,-143.6627275,3.4
189,70.13293667,-143.6627275,3.4
190,70.13293667,-143.6627275,3.4
191,70.13296167,-143.66271669999998,3.8
192,70.13298583,-143.6627175,4.2
193,70.13298583,-143.6627175,4.8
194,70.13298583,-143.6627175,4.4
195,70.13298583,-143.6627175,4.0
196,70.13301,-143.66271830000002,3.4
197,70.13301,-143.66271830000002,3.6
198,70.13314167,-143.662745,4.0
199,70.13314167,-143.662745,4.0
200,70.13314167,-143.662745,3.8
201,70.13314167,-143.662745,4.0
202,70.13314167,-143.662745,4.0
203,70.13322833,-143.6627767,3.4
204,70.13322833,-143.6627767,3.4
205,70.13322833,-143.6627767,3.4
206,70.13322833,-143.6627767,3.4
207,70.13326833,-143.66279169999999,3.6
208,70.13326833,-143.66279169999999,3.6
209,70.13326833,-143.66279169999999,3.6
210,70.13326833,-143.66279169999999,3.6
211,70.13328833,-143.66279169999999,3.6
212,70.13328833,-143.66279169999999,4.4
213,70.13328833,-143.66279169999999,3.4
214,70.13338167,-143.66279169999999,4.8
215,70.13338167,-143.66279169999999,5.2
216,70.13338167,-143.66279169999999,5.4
217,70.13338167,-143.66279169999999,4.2
218,70.13338167,-143.66279169999999,3.8
219,70.13338167,-143.66281669999998,3.6
220,70.13338167,-143.66281669999998,3.6
221,70.13338167,-143.66281669999998,3.8
222,70.13338167,-143.66281669999998,3.6
223,70.13338167,-143.66281669999998,3.6
224,70.13302667,-143.6630983,3.4
225,70.13302667,-143.6630983,3.8
226,70.13300417,-143.663095,4.2
227,70.13300417,-143.663095,3.4
228,70.13298167,-143.6630917,3.4
229,70.13287,-143.6631042,4.2
230,70.13284833,-143.6631067,4.4
231,70.13284833,-143.6631067,4.2
232,70.13284833,-143.6631067,3.8
233,70.1327075,-143.66309669999998,3.4
234,70.1327075,-143.66309669999998,3.4
235,70.1327075,-143.66309669999998,3.4
236,70.1327075,-143.66309669999998,3.4
237,70.13269167,-143.66309669999998,3.4
238,70.132725,-143.66333,4.2
239,70.132725,-143.66333,3.4
240,70.132725,-143.66333,3.4
241,70.132725,-143.66333,3.4
242,70.132725,-143.66333,3.4
243,70.132825,-143.663365,4.0
244,70.132825,-143.663365,3.6
245,70.13285083,-143.6633717,3.6
246,70.13285083,-143.6633717,4.2
247,70.13285083,-143.6633717,4.8
248,70.13289917,-143.66337919999998,3.6
249,70.13305,-143.6633717,4.6
250,70.13305,-143.6633717,4.6
251,70.13305,-143.6633717,4.6
252,70.13305,-143.6633717,4.6
253,70.13305,-143.6633717,4.8
254,70.13305,-143.6633717,4.0
255,70.13306917,-143.66336830000003,4.2
256,70.13306917,-143.66336830000003,4.2
257,70.13306917,-143.66336830000003,4.2
258,70.13306917,-143.66336830000003,4.2
259,70.13306917,-143.66336830000003,3.8
260,70.13315083,-143.6633725,3.4
261,70.13315083,-143.6633725,3.4
262,70.13315083,-143.6633725,3.4
263,70.13315083,-143.6633725,3.4
264,70.133215,-143.66338000000002,3.4
265,70.133215,-143.66338000000002,3.8
266,70.13331333,-143.66339330000002,3.6
267,70.13332833,-143.6633867,4.2
268,70.13332833,-143.6633867,3.4
269,70.13336,-143.663525,3.4
270,70.13336,-143.663525,4.0
271,70.13336,-143.663525,4.6
272,70.13336,-143.663525,4.2
273,70.13336,-143.663525,3.8
274,70.13336,-143.663525,3.6
275,70.13336083,-143.66356919999998,3.6
276,70.13336083,-143.66356919999998,3.4
277,70.13332833,-143.6636383,3.8
278,70.13332833,-143.6636383,3.6
279,70.13331167,-143.66368,3.6
280,70.13331167,-143.66368,4.0
281,70.13331167,-143.66368,3.8
282,70.13310083,-143.66361919999997,3.6
